Title,Author,Verified,Date of Publication,Subject,CD/ DVD/ Online Access Code,Cost,Purchased by,School,Total
Chansons de noel- easy piano organ and guitar,,FALSE,1990,,,,,,
"Primary Christmas Concerts- Plus invitations, costume ideas, stage directions and refreshment ideas",Carol Oglvy and Trudy Tinkham,TRUE,1989,,,,,,
"Primary Christmas Concerts- Plus invitations, costume ideas, stage directions and refreshment ideas",Carol Oglvy and Trudy Tinkham,TRUE,1989,,,,,,
"Santa Claus is Comin' to Town- and other Christmas songs- voice, piano, guitar",,TRUE,,,,,,,
Ring the Bells for Christmas- 10 winter and holiday songs arranged for voice and orff instruments,,TRUE,,,,,,,
Ring the Bells for Christmas- 10 winter and holiday songs arranged for voice and orff instruments,David Asplund,TRUE,1998,,,,,,
Rudolph's Christmas Album,June Weybright,TRUE,,,,,,,
Music for little mozarts- Christmas fun book 4,Alfred,TRUE,,,,,,,
Music for little mozarts- Christmas fun book 2,,TRUE,,,,,,,
Twas the night before Christmas-A mini musical based on the famous poem- Unison and 2 part voices- Teacher's Guide,Sally albrecht and Jay Althouse,TRUE,,,,,,,
Follow the North Star Home- A Winter Musical for Orff Instruments,Alice Olson,TRUE,1988,,,,,,
The Christmas concert idea book- Teacher's Handbook,Denise Gagne,TRUE,2006,,CD,,,,
Christmas Favorites,Denise Gagne,TRUE,2008,,CD,,,,
K-3 Christmas Concert Ideas,Denise Gagne,TRUE,1997,,,,,,
"Songs of Christmas-Piano, vocal, guitar",Alfred,TRUE,2005,,,,,,
Wee sing for Christmas,Pamela Conn Beall and Susan Hagen Nipp,TRUE,1984,,,,,,
Really easy guitar christmas songs,Hal Leonard,TRUE,,,,,,,
A family christmas around the piano- easy piano,,TRUE,2001,,,,,,
Tomie dePaola's Book of Christmas Carols,Tomie dePaola',TRUE,1987,,,,,,
The Golden Book of Christmas Carols- Piano arrangements with chord symbols for organ and guitar,Golden Book,TRUE,1981,,,,,,
The Hallmark Christmas Songbook- Featuring favorite carols beautifully illustrated with Christmas Cards from teh Hallmark Historical Collection,Hal Leonard,TRUE,1993,,,,,,
Joy to the world- A Christmas Songbook- National Gallery of Art,Hal Leonard,TRUE,1992,,CD,,,,
Take Joy- The Tasha Tudor Christmas Book,,TRUE,1966,,,,,,
Punkinhead- and the clock the fell asleep,,TRUE,1956,,,,,,
Sing for Christmas,Opal Wheeler,TRUE,1943,,,,,,
Sing Noel- Christmas Carols arranged for Autoharp or Guitar,,TRUE,,,,,,,
Round the world christmas album- A collection of Christmas carols and song from many nations,Felix Guenther,TRUE,,,,,,,
50 Kids Christmas Favorites- 2 CD's,,FALSE,,,,,,,
Chrsitmas Sing along,,FALSE,,,,,,,
Kids Christmas Party,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
